Name,Age,Overall,Nationality,Club,Value,Wage,Preferred Foot,Jersey Number,Position
Jang Ho Ik,24,66,Korea Republic,Suwon Samsung Bluewings,€825K,€3K,Right,35.0,RM
K. Bartolec,23,66,Croatia,FC Nordsjælland,€800K,€4K,Right,2.0,RWB
G. Malcore,24,66,Italy,Cittadella,€925K,€1K,Right,10.0,ST
V. Gvilia,24,66,Georgia,FC Luzern,€850K,€4K,Right,80.0,CAM
D. Burnić,20,66,Germany,Borussia Dortmund,€1M,€8K,Left,32.0,CDM
A. Öztürk,25,66,Turkey,Sunderland,€700K,€4K,Right,5.0,CB
K. Taketomi,27,66,Japan,Urawa Red Diamonds,€675K,€4K,Right,7.0,LM
M. Mancosu,29,66,Italy,Lecce,€625K,€2K,Right,8.0,CAM
D. Jaković,32,66,Canada,Los Angeles FC,€375K,€2K,Right,5.0,LCB
M. Saeid,27,66,Sweden,IK Sirius,€650K,€1K,Left,26.0,CM
U. Taffertshofer,26,66,Germany,VfL Osnabrück,€625K,€2K,Right,8.0,RDM
A. Medina,33,66,Argentina,Club Atlético Aldosivi,€400K,€4K,Right,7.0,ST
M. Papadopulos,33,66,Czech Republic,Piast Gliwice,€400K,€3K,Right,27.0,ST
N. Zaniolo,18,66,Italy,Roma,€1.3M,€7K,Left,22.0,CAM
F. Montero,29,66,Argentina,Argentinos Juniors,€625K,€4K,Right,30.0,LCM
J. Vuković,26,66,Croatia,Clube Sport Marítimo,€675K,€3K,Right,44.0,CDM
E. Barli,26,66,Norway,Ranheim Fotball,€575K,€1K,Right,1.0,GK
G. Carrasco,21,66,Argentina,Club Atlético Lanús,€900K,€4K,Right,27.0,RB
A. Balijon,35,66,France,Le Havre AC,€150K,€1K,Right,50.0,GK
I. Saavedra,19,66,Chile,Universidad Católica,€900K,€2K,Right,24.0,RCM
Z. Janjić,32,66,Bosnia Herzegovina,Korona Kielce,€500K,€2K,Right,31.0,CAM
J. Skjelvik,26,66,Norway,LA Galaxy,€650K,€2K,Left,16.0,CB
K. Kamiński,27,66,Poland,Júbilo Iwata,€550K,€2K,Right,21.0,GK
M. Endres,27,66,Germany,SpVgg Unterhaching,€600K,€2K,Right,6.0,RCB
B. Delacourt,32,66,France,KSV Cercle Brugge,€375K,€4K,Right,28.0,CB
C. Rismark,26,66,Norway,SK Brann,€650K,€2K,Left,4.0,CB
A. Ligi,28,66,Italy,Carpi,€525K,€1K,Right,14.0,CB
D. Lachman,28,66,Curacao,PEC Zwolle,€525K,€3K,Right,29.0,CB
M. Riascos,27,66,Colombia,Al Batin,€675K,€5K,Right,11.0,RM
L. Vignali,22,66,Italy,Spezia,€950K,€1K,Right,24.0,RB
S. Skålevik,25,66,Norway,SK Brann,€875K,€2K,Right,11.0,ST
M. Djetei,23,66,Cameroon,Gimnàstic de Tarragona,€850K,€2K,Right,24.0,CB
A. Fuchs,21,66,Germany,1. FC Nürnberg,€975K,€5K,Right,35.0,CM
M. Könnecke,29,66,Germany,FSV Zwickau,€625K,€1K,Right,13.0,CAM
E. Yao Guy,22,66,Ivory Coast,FC Lugano,€825K,€2K,Right,15.0,CB
G. Burke,24,66,Republic of Ireland,Preston North End,€850K,€4K,Left,19.0,CAM
C. Hemlein,27,66,Germany,1. FC Kaiserslautern,€675K,€2K,Right,17.0,RM
D. Anderson,23,66,Netherlands,US Salernitana 1919,€850K,€9K,Right,13.0,RB
M. Døhr Thychosen,21,66,Denmark,FC Midtjylland,€825K,€4K,Right,24.0,RWB
A. Nordvik,31,66,Norway,Odds BK,€425K,€2K,Left,15.0,CB
D. Thomalla,25,66,Germany,1. FC Heidenheim 1846,€825K,€4K,Right,11.0,ST
P. Parzyszek,24,66,Poland,Piast Gliwice,€875K,€3K,Right,9.0,ST
M. Fornasier,24,66,Italy,Pescara,€700K,€1K,Right,13.0,CB
Michel Douglas,26,66,Brazil,CD Aves,€800K,€4K,Left,9.0,ST
Álex Cobo,22,66,Spain,Deportivo de La Coruña,€800K,€2K,Right,27.0,GK
M. Çelik,28,66,Sweden,BK Häcken,€650K,€2K,Right,7.0,LW
L. Woudenberg,24,66,Netherlands,SC Heerenveen,€700K,€2K,Left,16.0,LB
T. Tekie,21,66,Sweden,Östersunds FK,€875K,€5K,Right,3.0,LCM
D. Vega,25,66,Costa Rica,SK Brann,€775K,€2K,Left,19.0,RW
N. Rusyn,19,66,Ukraine,Dynamo Kyiv,€1.1M,€1K,Right,43.0,ST
Víctor,21,66,Spain,Deportivo de La Coruña,€1.2M,€2K,Right,37.0,RM
A. Deja,25,66,Poland,Arka Gdynia,€700K,€2K,Right,16.0,RDM
F. Cornejo,22,66,Chile,Audax Italiano,€1M,€2K,Right,8.0,CM
A. Balboa,24,66,Uruguay,Belgrano de Córdoba,€925K,€4K,Right,11.0,ST
D. Edwards,32,66,Wales,Reading,€475K,€10K,Right,16.0,CM
R. Vargas,23,66,Bolivia,,€0,€0,Right,,
F. Rherras,25,66,Morocco,AS Béziers,€675K,€2K,Right,2.0,LB
Gu Sung Yun,24,66,Korea Republic,Hokkaido Consadole Sapporo,€600K,€1K,Right,25.0,GK
C. Mavrias,24,66,Greece,Hibernian,€875K,€2K,Right,23.0,RM
E. Martinez,27,66,Uruguay,Colorado Rapids,€650K,€3K,Right,90.0,CM
Lee Chang Geun,24,66,Korea Republic,Jeju United FC,€650K,€1K,Right,21.0,GK
M. Mohsen,29,66,Egypt,,€0,€0,Right,9.0,ST
A. Gómez,25,66,Peru,Minnesota United FC,€650K,€2K,Left,32.0,LWB
N. Ramírez,21,66,Chile,Club Deportes Temuco,€1.3M,€3K,Right,14.0,LCB
C. Gebauer,24,66,Austria,SCR Altach,€825K,€4K,Right,9.0,RM
C. Knett,27,66,Austria,FC Wacker Innsbruck,€500K,€3K,Right,1.0,GK
K. Naismith,26,66,Scotland,Wigan Athletic,€750K,€15K,Left,20.0,LB
Rober Correa,25,66,Spain,Cádiz CF,€675K,€3K,Right,4.0,RB
C. Escobar,28,66,Chile,San Luis de Quillota,€675K,€2K,Right,19.0,ST
J. Smeets,23,66,Netherlands,Fortuna Sittard,€875K,€2K,Right,6.0,CM
Borja Galán,25,66,Spain,AD Alcorcón,€775K,€3K,Right,23.0,LM
J. Intriago,22,66,Ecuador,,€0,€0,Right,15.0,CM
D. Sjölund,35,66,Finland,IFK Norrköping,€270K,€2K,Left,20.0,CM
E. Bonifacio,24,66,Argentina,Gimnasia y Esgrima La Plata,€750K,€4K,Right,6.0,RWB
Lee Ho Seung,28,66,Korea Republic,Jeonnam Dragons,€450K,€2K,Right,20.0,GK
G. Hein,21,66,France,FC Metz,€900K,€2K,Left,8.0,RW
H. Abe,19,66,Japan,Kashima Antlers,€1.4M,€2K,Right,30.0,LM
A. De Bruyn,24,65,Belgium,Sint-Truidense VV,€700K,€3K,Right,14.0,LM
J. Akinde,28,65,England,Lincoln City,€550K,€6K,Right,29.0,ST
D. McGregor,32,65,Scotland,Hibernian,€300K,€2K,Right,24.0,CB
G. Villarruel,25,65,Argentina,San Martín de San Juan,€675K,€3K,Right,27.0,RM
Pastrana,21,65,Spain,RC Celta,€875K,€4K,Left,34.0,LM
Teixeira José,28,65,Brazil,Pohang Steelers,€425K,€6K,Right,23.0,RB
A. Fernández,32,65,Uruguay,San Martin de Tucumán,€400K,€3K,Right,23.0,RM
J. Devecchi,22,65,Argentina,San Lorenzo de Almagro,€675K,€3K,Right,25.0,GK
C. Früchtl,18,65,Germany,FC Bayern München,€1M,€3K,Left,36.0,GK
I. Rondanini,23,65,Italy,Brescia,€675K,€1K,Right,20.0,RB
W. Creavalle,27,65,Guyana,Philadelphia Union,€500K,€2K,Right,2.0,CDM
A. Considine,31,65,Scotland,Aberdeen,€350K,€2K,Left,4.0,RCB
J. Vitale,22,65,Argentina,San Martin de Tucumán,€725K,€4K,Right,15.0,CDM
J. Ryerson,20,65,Norway,1. FC Union Berlin,€700K,€5K,Right,6.0,CDM
J. Ríos,26,65,Colombia,Alianza Petrolera,€550K,€1K,Right,8.0,LDM
K. Dabila,21,65,Ivory Coast,LOSC Lille,€775K,€5K,Right,22.0,CB
Avilés,20,65,Spain,CD Leganés,€850K,€5K,Right,33.0,RM
No Dong Geon,26,65,Korea Republic,Suwon Samsung Bluewings,€475K,€2K,Right,21.0,GK
Benjamin Muscato,26,65,Brazil,Chapecoense,€475K,€4K,Right,20.0,CB
N. Topor-Stanley,33,65,Australia,Newcastle Jets,€220K,€1K,Left,44.0,LCB
P. Clement,22,65,Netherlands,Reading,€750K,€7K,Right,22.0,CAM
H. Toffolo,22,65,England,Lincoln City,€600K,€4K,Left,14.0,LB
C. Colkett,21,65,England,Shrewsbury,€825K,€2K,Left,23.0,CM
B. Çamoğlu,21,65,Turkey,Karlsruher SC,€775K,€2K,Right,2.0,RM
Yang Dong Hyen,32,65,Korea Republic,Cerezo Osaka,€425K,€3K,Right,18.0,ST
S. Tetteh,21,65,Ghana,LASK Linz,€850K,€7K,Right,20.0,ST
A. Dobos,18,65,Hungary,Fortuna Sittard,€1.1M,€1K,Left,21.0,CAM
J. Mason,27,65,Republic of Ireland,Portsmouth,€575K,€16K,Right,14.0,ST
Lee Woong Hee,29,65,Korea Republic,FC Seoul,€425K,€2K,Right,3.0,CB
C. Lavery,25,65,Northern Ireland,Bury,€675K,€4K,Right,32.0,ST
M. Savastano,21,65,Netherlands,AZ Alkmaar,€650K,€3K,Left,42.0,LB
N. Granatowski,27,65,Germany,SV Meppen,€575K,€1K,Right,9.0,LM
M. Stiefler,29,65,Germany,Karlsruher SC,€525K,€3K,Right,8.0,RCM
L. Pavez,22,65,Chile,Unión Española,€700K,€1K,Left,29.0,LB
S. Román,23,65,Colombia,Once Caldas,€625K,€1K,Right,25.0,GK
M. Bakker,18,65,Netherlands,Ajax,€1M,€2K,Left,35.0,LB
A. Sambi Lokonga,18,65,Belgium,RSC Anderlecht,€1.1M,€2K,Right,48.0,RCM
M. Pérez Acuña,24,65,Argentina,Club Atlético Tigre,€625K,€3K,Right,17.0,RB
K. Dempsey,22,65,England,Fleetwood Town,€825K,€3K,Right,8.0,CM
Lee You Hyeon,21,65,Korea Republic,Jeonnam Dragons,€875K,€2K,Right,27.0,RW
Y. Quintana,22,65,Uruguay,San Jose Earthquakes,€675K,€2K,Right,30.0,CB
B. Knighton,33,65,United States,New England Revolution,€270K,€2K,Right,18.0,GK
R. Bennett,26,65,England,Peterborough United,€475K,€3K,Right,16.0,RCB
A. Lonergan,34,65,England,Middlesbrough,€220K,€9K,Left,31.0,GK
B. Sverrisson,28,65,Iceland,Aarhus GF,€450K,€4K,Left,6.0,CDM
D. Forde,38,65,Republic of Ireland,Cambridge United,€40K,€2K,Right,1.0,GK
H. Gong,19,65,Nigeria,Vitesse,€950K,€2K,Right,19.0,RW
T. Kupisz,28,65,Poland,Ascoli,€550K,€1K,Right,20.0,RM
M. Abusabaan,28,65,Saudi Arabia,Al Faisaly,€525K,€7K,Right,23.0,CM
C. Amaya,27,65,Colombia,Once Caldas,€575K,€1K,Right,11.0,ST
Wu Yake,27,65,China PR,Changchun Yatai FC,€450K,€2K,Right,23.0,GK
M. Schulz,23,65,Germany,FC Luzern,€750K,€3K,Right,15.0,LDM
O. Rojas,36,65,Mexico,Lobos BUAP,€60K,€2K,Right,12.0,RB
P. Jaroszyński,23,65,Poland,Chievo Verona,€600K,€3K,Left,44.0,LB
L. Reed,20,65,England,Peterborough United,€825K,€3K,Right,11.0,LCM
T. Elrich,31,65,Australia,Western Sydney Wanderers,€350K,€3K,Right,21.0,LCB
M. Malaeka,32,65,Saudi Arabia,Al Faisaly,€300K,€5K,Right,26.0,GK
C. Rentería,22,65,Colombia,Deportes Tolima,€750K,€1K,Right,7.0,CDM
S. Cox,31,65,Republic of Ireland,Southend United,€475K,€3K,Right,10.0,ST
A. Mannus,36,65,Northern Ireland,Shamrock Rovers,€70K,€1K,Right,1.0,GK
P. Jaeckel,19,65,Germany,SpVgg Greuther Fürth,€825K,€1K,Right,23.0,CB
J. Bijol,19,65,Slovenia,PFC CSKA Moscow,€900K,€1K,Right,29.0,CDM
Z. Kozulj,24,65,Bosnia Herzegovina,Pogoń Szczecin,€700K,€2K,Right,17.0,RCM
Song Jin Hyung,30,65,Korea Republic,FC Seoul,€500K,€2K,Right,37.0,CM
C. Duvall,26,65,United States,Montreal Impact,€525K,€2K,Right,18.0,RB
R. Williams,21,65,England,Wycombe Wanderers,€850K,€10K,Right,24.0,LW
M. Naamani,27,65,Algeria,Al Fateh,€525K,€7K,Right,4.0,RCB
M. Gollner,27,65,Austria,Wolfsberger AC,€500K,€4K,Left,4.0,CB
D. Pedersen,25,65,Denmark,Lillestrøm SK,€600K,€1K,Right,23.0,LCM
O. Berber,26,65,Turkey,Kayserispor,€550K,€4K,Left,12.0,LB
Steven Vitória,31,65,Canada,Lechia Gdańsk,€375K,€2K,Right,5.0,CB
B. Stokke,27,65,Norway,Randers FC,€575K,€4K,Left,18.0,LS
M. Ospitalieri,26,65,Belgium,Fortuna Sittard,€525K,€2K,Left,13.0,LB
J. Haugaard,26,65,Denmark,Stoke City,€500K,€8K,Left,29.0,GK
S. Mauk,22,65,Australia,Brisbane Roar,€800K,€2K,Right,13.0,CAM
Óscar Whalley,24,65,Spain,Aarhus GF,€525K,€2K,Left,1.0,GK
S. O'Donnell,32,65,Republic of Ireland,Dundalk,€400K,€1K,Left,6.0,CM
Marquinhos Cipriano,19,65,Brazil,Shakhtar Donetsk,€1.2M,€1K,Left,28.0,RM
I. Vassell,24,65,England,Birmingham City,€700K,€7K,Right,11.0,ST
T. Lehne Olsen,27,65,Norway,Lillestrøm SK,€625K,€2K,Right,10.0,ST
S. Pontisso,21,65,Italy,Udinese,€950K,€5K,Right,21.0,CM
Henrique Jardinel,30,65,Brazil,América FC (Minas Gerais),€400K,€4K,Right,16.0,CDM
C. Almeida,28,65,Uruguay,Defensa y Justicia,€425K,€3K,Left,13.0,LB
R. Yalçın,24,65,Germany,Çaykur Rizespor,€650K,€3K,Right,6.0,LDM
S. Jhingan,24,65,India,,€0,€0,Right,5.0,RCB
Jeong Hyun Cheol,25,65,Korea Republic,FC Seoul,€675K,€2K,Right,24.0,CM
M. McKenzie,19,65,United States,Philadelphia Union,€900K,€1K,Right,4.0,RCB
J. Deumeland,30,65,Germany,IK Start,€350K,€1K,Right,26.0,GK
N. Lang,19,65,Netherlands,Ajax,€950K,€3K,Right,37.0,LW
V. Vries,27,65,Namibia,Kaizer Chiefs,€450K,€1K,Right,16.0,GK
L. Verstraete,19,65,Belgium,Waasland-Beveren,€925K,€3K,Right,13.0,RCM
J. Jigauri,25,65,Georgia,Grenoble Foot 38,€675K,€2K,Right,18.0,CAM
D. Moxey,32,65,England,Exeter City,€300K,€3K,Left,21.0,LB
C. Wernitznig,28,65,Austria,Wolfsberger AC,€550K,€4K,Right,24.0,RCM
C. Valeri,33,65,Australia,Melbourne Victory,€220K,€3K,Right,21.0,CDM
M. Mosquera,25,65,Colombia,Patriotas Boyacá FC,€550K,€1K,Left,16.0,LCB
R. Kouamé,21,65,Mali,Paris FC,€925K,€6K,Left,6.0,CM
D. Chima Chukwu,27,65,Nigeria,Molde FK,€625K,€2K,Right,27.0,ST
E. Harrison,24,65,Wales,Ipswich Town,€650K,€3K,Right,10.0,ST
T. Wendel,29,65,Germany,VfL Sportfreunde Lotte,€425K,€1K,Right,3.0,CDM
O. Schnitzler,22,65,Germany,SC Preußen Münster,€550K,€1K,Right,1.0,GK
A. Coly,25,65,Senegal,Kristiansund BK,€550K,€1K,Right,17.0,RB
M. Vera,22,65,Argentina,CD O'Higgins,€725K,€2K,Left,34.0,CDM
R. De Vita,30,65,Italy,Livingston FC,€500K,€2K,Right,23.0,LM
F. Lohkemper,23,65,Germany,1. FC Magdeburg,€775K,€4K,Right,7.0,LS
M. Ajani,24,65,Germany,Hallescher FC,€675K,€1K,Right,22.0,RM
M. Lund Nielsen,30,65,Denmark,Sarpsborg 08 FF,€500K,€2K,Right,8.0,RCM
T. Mpati,26,65,Belgium,Sporting Lokeren,€525K,€4K,Right,35.0,RB
Edu Espiau,23,65,Spain,UD Las Palmas,€750K,€3K,Right,28.0,ST
H. Acosta,26,65,Mexico,Deportivo Toluca,€525K,€6K,Right,13.0,RB
T. Bu Haymid,30,65,Saudi Arabia,Al Fayha,€400K,€5K,Left,25.0,RWB
D. Mikanović,24,65,Croatia,Aarhus GF,€625K,€3K,Right,2.0,RB
R. Massimo,17,65,Germany,DSC Arminia Bielefeld,€1.1M,€4K,Right,22.0,RM
A. Smárason,29,65,Iceland,Lillestrøm SK,€525K,€2K,Right,88.0,CAM
S. Brandy,33,65,Germany,DSC Arminia Bielefeld,€350K,€4K,Right,16.0,ST
B. Adjei-Boateng,24,65,Ghana,Colorado Rapids,€725K,€2K,Right,21.0,CM
F. Milo,26,65,Argentina,San Martín de San Juan,€550K,€4K,Left,25.0,LB
K. Cissé,34,65,Mali,Central Coast Mariners,€160K,€1K,Right,20.0,RCB
D. Castillo,27,65,Chile,CD Universidad de Concepción,€450K,€1K,Right,12.0,GK
A. Krešić,22,65,Croatia,US Cremonese,€750K,€5K,Right,5.0,CB
Escriche,20,65,Spain,CD Lugo,€875K,€5K,Right,11.0,RS
E. Ataseven,25,65,Turkey,Akhisar Belediyespor,€600K,€4K,Right,8.0,CDM
M. Kopczyński,26,65,Poland,Wellington Phoenix,€550K,€3K,Right,15.0,CDM
Mao Jianqing,31,65,China PR,Shanghai Greenland Shenhua FC,€475K,€4K,Right,7.0,LW
J. Clarke,26,65,England,Scunthorpe United,€525K,€3K,Right,2.0,RB
Pak Kwang Ryong,25,65,Korea DPR,SKN St. Pölten,€650K,€5K,Right,89.0,RW
J. Husband,24,65,England,Fleetwood Town,€600K,€6K,Left,26.0,LB
A. Al Zori,30,65,Saudi Arabia,Al Wehda,€400K,€6K,Left,12.0,LB
Airam,30,65,Spain,Cracovia,€525K,€2K,Right,24.0,ST
M. Schulze Niehues,29,65,Germany,SC Preußen Münster,€375K,€1K,Right,35.0,GK
P. De la Vega,17,65,Argentina,Club Atlético Lanús,€1.1M,€3K,Right,39.0,LW
P. Sweeney,23,65,Republic of Ireland,Exeter City,€575K,€3K,Right,2.0,RB
P. Tuszyński,28,65,Poland,Zagłębie Lubin,€550K,€2K,Right,89.0,ST
J. Mosquera,27,65,Colombia,América de Cali,€550K,€1K,Right,16.0,CDM
M. Coppolaro,21,65,Italy,Venezia FC,€1.1M,€4K,Right,5.0,RCB
R. Mmaee,21,65,Belgium,Aarhus GF,€850K,€4K,Right,9.0,ST
S. Inagaki,26,65,Japan,Sanfrecce Hiroshima,€650K,€3K,Right,15.0,LCM
E. Mwepu,20,65,Zambia,FC Red Bull Salzburg,€925K,€6K,Right,45.0,CM
F. Viteritti,25,65,Germany,FC Energie Cottbus,€650K,€1K,Right,10.0,LCM
A. Dyer,28,65,Montserrat,IF Elfsborg,€525K,€2K,Right,23.0,CM
M. Mak,26,65,Poland,Lechia Gdańsk,€575K,€3K,Right,8.0,LM
Bae Il Hwan,29,65,Korea Republic,Jeju United FC,€525K,€2K,Right,19.0,RW
H. Adelakun,22,65,England,Bristol City,€950K,€9K,Right,16.0,RM
M. Devlin,24,65,Scotland,Aberdeen,€625K,€2K,Right,18.0,CB
J. Serra,20,65,Germany,Holstein Kiel,€1.1M,€3K,Left,23.0,LS
G. Faivre,31,65,Switzerland,FC Thun,€325K,€3K,Right,1.0,GK
K. Ellis,27,65,United States,DC United,€500K,€2K,Right,12.0,RB
L. Janoszka,31,65,Poland,Zagłębie Lubin,€475K,€2K,Left,14.0,LM
P. Azango,21,65,Nigeria,KAA Gent,€850K,€4K,Left,32.0,LW
M. Kennedy,23,65,Scotland,St. Johnstone FC,€750K,€2K,Right,33.0,LS
N. Fitzgerald,26,65,Australia,Western Sydney Wanderers,€575K,€3K,Right,7.0,LW
M. Kudo,28,65,Japan,Sanfrecce Hiroshima,€550K,€4K,Right,9.0,ST
N. Busch Thor,32,65,Sweden,IK Sirius,€300K,€1K,Left,20.0,CDM
M. Harriman,25,65,Republic of Ireland,Wycombe Wanderers,€550K,€2K,Right,16.0,RB
L. Görtler,24,65,Germany,FC Utrecht,€750K,€5K,Right,27.0,ST
D. Ovono,35,65,Gabon,Paris FC,€130K,€1K,Right,30.0,GK
L. Pellegrini,19,65,Italy,Roma,€1M,€5K,Left,3.0,LB
K. Larsen,26,65,Norway,Sarpsborg 08 FF,€625K,€2K,Right,19.0,LM
A. Kruiswijk,33,65,Netherlands,Vitesse,€210K,€4K,Left,6.0,LB
A. Jaakkola,31,65,Finland,Reading,€325K,€6K,Right,20.0,GK
T. Chong,18,65,Netherlands,Manchester United,€1.1M,€13K,Left,44.0,RW
P. Alvarenga,30,65,Paraguay,San Martín de San Juan,€525K,€4K,Right,33.0,ST
M. Pascali,36,65,Italy,Cosenza,€70K,€1K,Right,29.0,CB
L. Dyer,35,65,England,Bolton Wanderers,€240K,€2K,Left,22.0,LM
P. Delecroix,29,65,France,FC Metz,€425K,€2K,Right,1.0,GK
E. Hooi,26,65,Curacao,ADO Den Haag,€575K,€3K,Right,77.0,LW
J. Riley,26,65,England,Plymouth Argyle,€525K,€3K,Right,2.0,RB
J. López,26,65,Algeria,Paris FC,€575K,€2K,Right,20.0,CAM
C. Stokes,27,65,England,Bury,€500K,€4K,Left,3.0,LCB
J. Campbell,25,65,United States,Chicago Fire,€600K,€2K,Right,16.0,CB
Marcão,22,65,Brazil,Clube Sport Marítimo,€600K,€2K,Right,4.0,CB
D. Mungo,25,65,Italy,Cosenza,€650K,€1K,Right,7.0,RDM
G. Marinelli,29,65,Argentina,Club Atlético Tigre,€425K,€3K,Right,23.0,GK
G. Wegkamp,25,65,Germany,VfL Sportfreunde Lotte,€725K,€1K,Right,13.0,ST
A. Gersbach,21,65,Australia,Rosenborg BK,€750K,€1K,Left,3.0,LB
You Ju An,19,65,Korea Republic,Suwon Samsung Bluewings,€775K,€1K,Right,28.0,ST
M. Tacalfred,37,65,France,AJ Auxerre,€70K,€1K,Right,20.0,RCB
I. Durmuş,24,65,Turkey,FC Wacker Innsbruck,€700K,€3K,Left,29.0,LW
J. Méndez,21,65,Ecuador,,€0,€0,Right,20.0,LCM
A. Otero,34,65,Colombia,Patriotas Boyacá FC,€220K,€1K,Right,25.0,GK
Kim Jin Ya,20,65,Korea Republic,Incheon United FC,€975K,€1K,Right,13.0,RCB
D. Christensen,29,65,Denmark,Vendsyssel FF,€400K,€3K,Left,20.0,LB
N. DeLeon,27,65,United States,DC United,€450K,€2K,Right,14.0,RB
L. Grozurek,26,65,Austria,SK Sturm Graz,€625K,€5K,Right,11.0,RF
L. Narváez,33,65,Colombia,Junior FC,€220K,€1K,Right,15.0,CDM
R. McArdle,31,65,Northern Ireland,Scunthorpe United,€375K,€3K,Right,23.0,LCB
J. Pérez,20,65,United States,Los Angeles FC,€1.2M,€2K,Left,18.0,RW
Loureiro,21,65,Spain,Córdoba CF,€675K,€2K,Right,15.0,RB
Javi Hernández,20,65,Spain,Real Oviedo,€1.1M,€18K,Left,33.0,CB
K. Appiah,27,65,Ghana,AFC Wimbledon,€575K,€3K,Right,9.0,LS
R. Kirilov,26,65,Bulgaria,,€0,€0,Right,17.0,LW
H. Matynia,22,65,Poland,Pogoń Szczecin,€650K,€2K,Right,3.0,LB
Fran Gámez,26,65,Spain,RCD Mallorca,€525K,€2K,Right,15.0,RB
O. Ademi,26,65,Switzerland,FC Würzburger Kickers,€650K,€3K,Right,19.0,LS
J. Bjørdal,32,65,Norway,SV Zulte-Waregem,€300K,€4K,Right,24.0,CB
A. Stolz,34,65,Germany,TSG 1899 Hoffenheim,€220K,€6K,Right,33.0,GK
Borja García,28,65,Spain,Extremadura UD,€500K,€2K,Left,5.0,CB
N. Sonko Sundberg,22,65,Sweden,Östersunds FK,€650K,€1K,Right,77.0,RCB
T. Božić,30,65,Croatia,Miedź Legnica,€400K,€1K,Right,24.0,CB
Guridi,23,65,Spain,Real Sociedad,€775K,€6K,Left,25.0,CM
Fabio González,21,65,Spain,UD Las Palmas,€700K,€2K,Right,27.0,CDM
W. Thomas,31,65,England,Grimsby Town,€475K,€4K,Right,39.0,LS
M. Costly,22,65,Germany,1. FC Magdeburg,€750K,€4K,Right,9.0,RW
T. Knoflach,24,65,Austria,SK Rapid Wien,€550K,€3K,Right,21.0,GK
Z. Vyner,21,65,England,Rotherham United,€650K,€7K,Right,2.0,RB
B. Atik,23,65,Turkey,SG Dynamo Dresden,€750K,€5K,Right,28.0,CAM
L. Goujon,22,65,France,AJ Auxerre,€825K,€2K,Right,15.0,CM
M. Ferrier,23,65,England,Walsall,€725K,€2K,Right,16.0,ST
H. Salinas,28,65,Chile,Deportes Iquique,€550K,€1K,Left,11.0,LM
K. Nakamachi,32,65,Japan,Yokohama F. Marinos,€300K,€2K,Right,8.0,CDM
J. Ekkelenkamp,18,65,Netherlands,Ajax,€950K,€2K,Right,40.0,CM
L. Haquin,20,65,Bolivia,,€0,€0,Right,16.0,LCB
L. Legge,33,65,England,Port Vale,€220K,€4K,Right,5.0,RCB
K. Harris,25,65,England,Cardiff City,€675K,€11K,Right,23.0,LM
S. Avellaneda,28,65,Colombia,Boyacá Chicó FC,€450K,€1K,Right,12.0,GK
F. Ávila,24,65,Colombia,Patriotas Boyacá FC,€725K,€1K,Right,19.0,LW
M. Almebäck,30,65,Sweden,Örebro SK,€400K,€2K,Right,14.0,CB
J. Günther-Schmidt,23,65,Germany,FC Carl Zeiss Jena,€775K,€6K,Right,27.0,RS
B. Rivero,22,65,Argentina,Newell's Old Boys,€750K,€4K,Right,8.0,CDM
L. Argudo,22,65,United States,Columbus Crew SC,€750K,€2K,Right,26.0,LM
J. Leutwiler,29,65,Canada,Blackburn Rovers,€375K,€8K,Right,13.0,GK
J. Ortiz,27,65,Chile,Curicó Unido,€575K,€3K,Left,27.0,LM
E. Demirović,20,65,Bosnia Herzegovina,FC Sochaux-Montbéliard,€1.2M,€5K,Right,14.0,ST
H. Petryk,23,65,Uruguay,San Martin de Tucumán,€650K,€3K,Right,32.0,RB
S. O'Keefe,27,65,England,Plymouth Argyle,€550K,€11K,Right,13.0,CM
Woo Ju Sung,25,65,Korea Republic,Gyeongnam FC,€550K,€2K,Right,15.0,RB
A. Čermák,23,65,Czech Republic,Viktoria Plzeň,€750K,€1K,Left,25.0,CAM
E. Schreiner,29,65,Austria,SCR Altach,€400K,€4K,Left,16.0,LB
A. Ba,19,65,France,AS Nancy Lorraine,€1M,€1K,Right,6.0,LM
U. Moses Ekpai,22,65,Nigeria,Viktoria Plzeň,€800K,€1K,Right,90.0,RM
L. Daniels,30,65,England,Brentford,€350K,€8K,Right,28.0,GK
R. Laursen,26,65,Denmark,Odense Boldklub,€550K,€3K,Right,4.0,RWB
J. Cullen,22,65,Republic of Ireland,Charlton Athletic,€850K,€14K,Right,24.0,CDM
N. Kijewski,22,65,Germany,Eintracht Braunschweig,€675K,€2K,Left,27.0,LB
B. Passi,20,65,France,Montpellier HSC,€825K,€4K,Right,15.0,CB
T. Müller,23,65,Germany,1. FC Magdeburg,€600K,€3K,Right,5.0,RCB
R. Procházka,29,65,Slovakia,Viktoria Plzeň,€425K,€1K,Right,6.0,CDM
A. Alvarez,33,65,El Salvador,Houston Dynamo,€325K,€2K,Left,12.0,RM
Alex Vallejo,26,65,Spain,Córdoba CF,€575K,€2K,Right,21.0,CDM
M. Pepić,22,65,Montenegro,FC Hansa Rostock,€750K,€1K,Left,6.0,RDM
Matheus Jesus,21,65,Brazil,Portimonense SC,€825K,€2K,Left,31.0,CDM
M. Gebers,32,65,Germany,SV Meppen,€300K,€1K,Right,31.0,CB
E. Pimentel,28,65,Mexico,Puebla FC,€450K,€13K,Right,14.0,CB
